,,,,,Fontes:
Quixeramobim ,,quixeramobinense,,,
Russas ,,russano,,,
Saboeiro ,,saboeirense,,,
Santa Quitéria ,,quiteriense,,,
São Benedito ,,são-beneditense,,,
São Gonçalo do Amarante ,,gonçalense,,,
São Luís do Curu ,,curuense,,,
Senador Pompeu,,pompeuense,,,
Sobral ,,sobralense,,,
Solonópole,,solonopolense,,,
Tauá ,,tauaense,,,
Tianguá ,,tianguense,,,
Trairi ,,trairiense,,,
Tururu ,,tururuense,,,
Uruburetama ,,uruburetamense,,,
Varjota ,,varjotense,,,
Várzea Alegre ,,várzea-alegrense,,,
Viçosa do Ceará ,,viçosense,,,
,,,,,
Espírito Santo,,,,,
Água Doce do Norte,,água-docense,,,
Afonso Cláudio,,afonso-claudense,,,
Alegre,,alegrense,,,
Alfredo Chaves,,alfredense,,,
Aracruz ,,aracruzense,,,
Baixo Guandu,,guanduense,,,
Barra de São Francisco ,,francisquense,,,
Brejetuba ,,brejetubense,,,
Cachoeiro de Itapemirim ,,cachoeirense,,,
Cariacica ,,cariaciquense,,,
Castelo ,,castelense,,,
Colatina,,colatinense,,,
Conceição da Barra ,,barrense,,,
Domingos Martins ,,martinense,,,
Ecoporanga ,,ecoporanguense,,,
Fundão ,,fundoense,,,
Governador Lindenberg ,,lindenberguense,,,
Guaçuí ,,guaçuiense,,,
Guarapari ,,guarapariense,,,
Ibiraçu ,,ibiraçuense,,,
Itapemirim ,,itapemirinense,,,
João Neiva ,,joão-neivense,,,
Linhares ,,linharense,,,
Muqui ,,muquiense,,,
Nova Venécia ,,veneciano,,,
Pancas ,,panquense,,,
Piúma ,,piumense,,,
Rio Bananal ,,rio-bananalense,,,
Santa Teresa ,,teresense,,,
São Gabriel da Palha ,,gabrielense,,,
São Mateus ,,mateense,,,
Serra ,,serrano,,,
Sooretama ,,sooretamense,,,
Vargem Alta ,,vargem-altense,,,
Venda Nova do Imigrante ,,venda-novense,,,
Vila Pavão ,,pavoense,,,
Vila Velha ,,vila-velhense; canela-verde,,,
Vitória ,*,vitoriense,,,
,,,,,
Goiás,,,,,
Alvorada do Norte ,,alvoradense-do-norte,,,
Anápolis ,,anapolitano; anapolino; anapolense,,,
Aporé,,aporeense,,,
Estrela do Norte ,,estrela-nortense,,,
Flores de Goiás ,,florense,,,
Formosa ,,formosense,,,
Goianésia,,goianesiense,,,
Goiânia ,*,goianiense,,,
Goiás ,,vila-boense; goiano,,,
Goiatuba ,,goiatubense,,,
Itaberaí ,,itaberino,,,
Itapaci ,,itapacino,,,
Itumbiara,,itumbiarense,,,
Jandaia ,,jandaiense,,,
Morrinhos ,,morrinhense,,,
Nova Glória ,,nova-glorino,,,
Nova Roma ,,nova-romano,,,
Orizona ,,orizonense,,,
Piranhas ,,piranhense,,,
Pontalina ,,pontalinense,,,
Posse ,,possense,,,
Rio Verde ,,rio-verdense,,,
Rubiataba ,,rubiatabense,,,
Quirinópolis ,,quirinopolino,,,
São Simão ,,simonense,,,
Silvânia ,,silvaniense,,,
Simolândia ,,simolandense,,,
Sítio d'Abadia ,,sitiense,,,
Trindade ,,trindadense,,,
Uruaçu ,,uruaçuense,,,
Vianópolis ,,vianopolino,,,
Vila Boa,,vila-boense,,,
,,,,,
Maranhão,,,,,
Açailândia ,,açailandense,,,
Bacabal ,,bacabalense,,,
Balsas ,,balsense,,,
Barra do Corda ,,barra-cordense,,,
Barreirinhas ,,barreirinhense,,,
Caxias ,,caxiense,,,
Graça Aranha ,,gracense,,,
Guimarães ,,guimarense; vimarense,,,
Humberto de Campos ,,humberto-campense; humbertuense,,,
Imperatriz ,,imperatrizense,,,
Itapecuru-Mirim,,itapecuruense,,,
Joselândia ,,joselandense,,,
Loreto ,,loretense,,,
Nova Iorque ,,nova-iorquense,,,
Paço do Lumiar,,luminense,,,
Passagem Franca ,,passagense,,,
Pinheiro ,,pinheirense,,,
Pio XII ,,pio-docense; pio-dozense,,,
Poção de Pedras ,,poção-pedrense,,,
Presidente Vargas ,,presidentino; presidente-varguense,,,
Rosário ,,rosariense,,,
Santa Inês ,,santa-inesense,,,
São João do Caru ,,"são-joanense, caruense",,,
São João dos Patos,,patoense,,,
São Luís ,*,ludovicense; são-luisense,,,
São Pedro da Água Branca ,,são-pedrense,,,
Timon ,,timonense,,,
Vargem Grande ,,vargem-grandense,,,
Zé Doca ,,zé-doquense,,,
,,,,,
Mato Grosso,,,,,
Acorizal ,,acorizalense,,,
Água Boa ,,água-boense,,,
Alta Floresta ,,alta-florestense; florestense,,,
Alto Araguaia ,,alto-araguaiense,,,
Alto Boa Vista ,,alto-boa-vistense,,,
Alto Garças ,,alto-garcense,,,
Alto Paraguai ,,alto-paraguaiense,,,
Alto Taquari,,taquariense,,,
Apiacás ,,apiacaense,,,
Araguaiana ,,araguaianense,,,
Araguainha ,,araguainhense,,,
Araputanga ,,araputanguense,,,
Arenápolis ,,arenapolitano,,,
Aripuanã ,,aripuanense,,,
Barra do Bugres ,,barra-bugrense,,,
Barra do Garças ,,barra-garcense,,,
Bom Jesus do Araguaia ,,bom-jesusense-do-araguaia,,,
Brasnorte ,,bras-nortense,,,
Canarana ,,canaranense,,,
Campo Verde ,,campo-verdense,,,
Chapada dos Guimarães ,,chapadense,,,
Cuiabá ,*,cuiabano,,,
Lucas do Rio Verde,,luquense,,,
Nobres ,,nobrense,,,
Novo Horizonte do Norte,,novo-horizontino,,,
Paranatinga ,,paranatinguense,,,
Pontes e Lacerda ,,pontes-lacerdense,,,
Rondonópolis,,rondonopolitano,,,
Santo Antônio de Leverger ,,levergense; santo-antoniense,,,
Sinop,,sinopense,,,
Tangará da Serra,,tangaraense,,,
Várzea Grande ,,várzea-grandense,,,
,,,,,
Mato Grosso do Sul,,,,,
Água Clara,,água-clarense,,,
Alcinópolis,,alcinopolense,,,
Amambai,,amambaiense,,,
Anastácio,,anastaciense,,,
Anaurilândia,,anaurilandense,,,
Angélica,,angeliquense,,,
Antônio João,,antônio-joanense,,,
Aparecida do Taboado,,aparecidense; taboadense,,,
Aquidauana,,aquidauanense,,,
Aral Moreira,,aral-moreirense,,,
Bandeirantes,,bandeirantense,,,
Bataguassu,,bataguaçuense,,,
Bataiporã,,bataiporanense,,,
Bela Vista,,bela-vistense,,,
Bodoquena,,bodoquenense,,,
Bonito,,bonitense,,,
Brasilândia,,brasilandense,,,
Caarapó,,caarapoense,,,
Camapuã,,camapuanense,,,
Campo Grande,*,campo-grandense,,,
Caracol,,caracolense,,,
Cassilândia,,cassilandense,,,
Chapadão do Sul,,chapadense,,,
Corguinho,,corguinhense,,,
Coronel Sapucaia,,sapucaiense,,,
Corumbá,,corumbaense,,,
Costa Rica,,costa-riquense,,,
Coxim,,coxinense,,,
Deodápolis,,deodapolense,,,
Dois Irmãos do Buriti,,buritiense,,,
Douradina,,douradinense,,,
Dourados,,douradense,,,
Eldorado,,eldoradense,,,
Fátima do Sul,,fatimulense,,,
Figueirão,,figueirãoense,,,
Glória de Dourados,,gloriadouradense,,,
Guia Lopes da Laguna,,guialopense; lagunense,,,
Iguatemi,,iguatemiense,,,
Inocência,,inocenciense,,,
Itaporã,,itaporanense,,,
Itaquiraí,,itaquiraiense,,,
Ivinhema,,invinhemense,,,
Japorã,,japoranense,,,
Jaraguari,,jaraguariense,,,
Jardim,,jardinense,,,
Jateí,,jateiense,,,
Juti,,jutiense,,,
Ladário,,ladarense,,,
Laguna Carapã,,lagunense,,,
Maracaju,,maracajuense,,,
Miranda,,mirandense,,,
Mundo Novo,,mundo-novense,,,
Naviraí,,naviraiense,,,
Nioaque,,nioaquense,,,
Nova Alvorada do Sul,,sul-nova-alvoradense,,,
Nova Andradina,,nova-andradinense,,,
Novo Horizonte do Sul,,novo-horizontense,,,
Paraíso das Águas,,paraisense,,,
Paranaíba,,paranaibense,,,
Paranhos,,paranhense,,,
Pedro Gomes,,pedrogomense,,,
Ponta Porã,,ponta-poranense,,,
Porto Murtinho,,murtinhense,,,
Ribas do Rio Pardo,,rio-pardense,,,
Rio Brilhante,,rio-brilhantense,,,
Rio Negro,,rio-negrense,,,
Rio Verde de Mato Grosso,,rioverdense,,,
Rochedo,,rochedense,,,
Santa Rita do Pardo,,santa-ritense,,,
São Gabriel do Oeste,,são-gabrielense,,,
Selvíria,,selviriense,,,
Sete Quedas,,sete-quedense,,,
Sidrolândia,,sidrolandense,,,
Sonora,,sonorense,,,
Tacuru,,tacuruense,,,
Taquarussu,,taquaruçuense,,,
Terenos,,terenense,,,
Três Lagoas,,três-lagoense,,,
Vicentina,,vicentinense,,,
,,,,,
Minas Gerais,,,,,
Abadia dos Dourados,,abadiense,,,
Abaeté ,,abaeteense,,,
Abre-Campo,,abre-campense,,,
Acaiaca,,acaiaquense,,,
Açucena ,,açucenense,,,
Água Boa ,,água-boense,,,
Água Comprida ,,água-compridense,,,
Aguanil ,,aguanilense,,,
Águas Formosas ,,águas-formosense,,,
Águas Vermelhas ,,vermelhense; águas-vermelhense,,,
Aimorés,,aimoreense,,,
Aiuruoca ,,aiuruocano; aiuruoquense,,,
Alagoa,,alagoense,,,
Albertina ,,albertinense,,,
